No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
175,millet,*ʰwɯǝŋC,fa:ŋC1,,pʰa:ŋC2,pʰa:ŋC1,,pʰyŋA1,,viəŋC1
176,resin,*ˀja:ŋA,ja:ŋA1,ja:ŋA1,ja:ŋA1,ja:ŋA1,ja:ŋA1,jyŋA1,,ja:ŋA1
177,banana,*kluəjC,kluəjC1,kujC1,kuəjC1,kuəjC1,ku:jC1,koyC1,cuəjC1,
178,sugarcane,*ʔo:jC,ʔɔjC1,ʔojC1,ʔɔ:jC1,ɁɔjC1,ʔo:jC1,ɁoyC1,ʔojC1,ʔɔ:jC1
179,bamboo,*prajB,pʰajB1,,,pʰjejC1,pʰajB1,pʰajB1,,pʰrajB1
180,"cucumber, melon",*p.rwe:ŋA,tɛ:ŋA1,teŋA1,pʰɛ:ŋA1,tʰɛŋA1,,tʰeŋA1,tiəŋA1,priəŋA1
181,ashgourd,*wakD,fakDS2,fakDS2,,vakDS2,fakDS2,fakDS2,,vakDS2
182,wild olive,*ko:kD,kɔ:kDL1,,kɔ:kDL1,,,,kokDL1,kɔ:kDL1
183,starfruit,*ɢwɯəŋA,fɯəŋA2,,,,fə:ŋA2,fyŋA2,,viəŋA1
184,plum,*manC,,manC2,manC2,manC1,,manC1,,
185,pomelo,*bu:kD,,pukDL2,pukDS2 -v,b̤ukDL2,pukDL2,,pukDS2,
186,acacia,*ge:A,kʰɛ:A2,,,,,,keA2,
187,banyan,*rajA,,hajB2,,rɤjA2,,,,hajA2
188,vegetable,*prakD,pʰakDS1,fakDS1 -i,pʰjakDS1,pʰjakDS1,pʰjakDS1,,piəkDS1,pʰrakDS1
189,morning glory,*ɓuŋC,buŋC1,buŋC1,buŋC1,buŋC1,buŋC1,boŋC1,,
190,mustar green,*ka:tD,ka:tDL1,ka:tDL1,ka:tDL1,ka:tDL1,ka:tDL1,ka:tDL1,ka:tDL1,
191,yam,*manA,manA2,,manA2,,manA2,manA2,manA2,manA2
192,taro,*prɯəkD,pʰɯəkDL1,pʰɯʔDL1,pʰɯəkDL1,pʰɯəkDL1,pʰɤ:kDL1,pʰykDL1,pɯəkDL1,
193,ginger,*χi:ŋA,kʰiŋA1,xiŋA1,kʰiŋA1,,kʰiŋA1,hɤŋA1,hiŋA1,hi:ŋA1
194,galangal,*xa:B,kʰa:B1,xa:B1,kʰa:B1,kʰa:B1,,ha:B1,haB1,ha:B1
195,sesame,*r.ŋa:A,ŋa:A2,ŋa:A2,ŋa:A2,ŋa:A2,ŋa:A2,ŋa:A2,raA2,
196,tea,*ɟa:A,cʰa:A2,,,za:A2,ca:A2,sa:A2,saA2,sa:A2
197,raisin,*ʔitD,,ʔitDS1,ʔitDS1,ɁitDS1,,jitDS1,,ɁitDS1
198,rattan,*C̥.wa:jA,wa:jA1,va:jA1,wa:jA1,wa:jA1,va:jA1,wa:jA1,va:jA1,va:jA1
199,reed,*ʔo:C,Ɂɔ:C1,ʔoC1,ʔɔ:C1,ɁɔC1,Ɂo:C1,ɁøC1,,
200,grass,*ʰɲɯəC,ja:C1,ɲa:C1,ɲa:C1,ɲa:C1,ja:C1,ɲyC1,ɲiəC1,ɲuəC1
201,thatch grass,*ɣa:A,kʰa:A2,xa:A2,kʰa:A2,g̈a:A2,ka:A2,ha:A2,haA2,ɣa:A2
202,mushroom,*ʰrwetD,hetDS1,hitDS1,hɤtDS1,,vitDS2,litDS1,ratDS1,
203,fern,*ku:tD,ku:tDL1,kutDS1,ku:tDL1,kutDL1,kutDL1,kutDL1,kutDS1,ku:tDL1
204,duckweed,*ʰne:A,nɛ:A1,neA1,nɛ:A1,nɛA1,ne:A1,,,nɛ:A1
205,aquatic moss,*dawA,tʰawA2,tawA2,tɤwA2,d̤ɤwA2,,,tawA2,
,D. Nature,,,,,,,,,
206,water,*C̬.namC,na:mC2,namC2,namC2,namC2,namC2,namC2,ramC2,namC2
207,fire,*wɤjA,fajA2,,pʰɤjA2,vɤjA2,fajA2,foyA2,fiA2,vi:A2
208,flame,*ple:wA,ple:wA2,pewA1,pje:wA1,pjewA1,,pewA1,,ple:wA1
209,smoke,*ɣwanA,kʰwanA2,vanA2,wanA2,wanA2,vanA2,wanA2,,ɣɔnA2
210,soot,*ʰmi:C,mi:C1,miC1,mi:C1,mi:C1,mi:C1,,miC1,mi:C1
211,hard firewood,*wɯ:lA,fɯ:nA2,funA2,pʰɯ:nA2,wɯnA2,fɤnA2,,funA2,vɯlA1
212,bamboo firewood,*ʰlɯəwA,,,luəA1,luəA1,,liwA1,,
213,leaf ashes,*brawB,,,pjɤwB2,,pjawB2,,,
214,ashes (wood),*dawB,tʰawB2,tawB2,tɤwB2,d̤oɤwB2,,tawB2,tawB2,tʰawB2
215,iron (1),*ʰlekD,lekDS1,likDS1,lekDS1,lekDS1,likDS1,likDS1,,
216,iron (2),*mwa:A,,,,,,,faA2,ma:A2
217,salt,*klwɯəA,klɯəA1,kɯA1,kɯəA1,kɯəA1,kɯ:A1,kyA1,kuəA1,tluəA1
218,lye,*ɗaŋB,da:ŋB1 -v,,,daŋB1,daŋB1,daŋB1,daŋB1,daŋB1
219,"grease, fat",*manA,manA2,,,manA2,,,,manA2
220,soil,*tɯmA,tomA1,,,tomA1,tumA1,tomA1,,
221,earth,*ɗin,dinA2,dinA1,dinA1,dinA1,,,,
222,sand,*zwɯəjA,sa:jA2,sa:jA2,tʰa:jA2,ra:jA2,ɬa:jA2,ɬuyA2,θiəjA2,jo:jA2
223,stone,*tri:lA,hinA1,hinA1,hi:nA1,tʰinA1,hinA1,tʰɤnA1,rinA1,ri:lA1
224,dry land,*ɓokD,bokDS1,bukDS1,bokDS1,bokDS1,buk5,,bokDS1,bɔkDS1
225,wild,*C̬.tɯənB,tʰɯənB1,tʰɯənB1,tʰuənB1 -v,tʰɯənC1 -t,tʰɤ:nA1,tunB2,tɯənB2,tʰuəlB2
226,forest,*ɗoŋA,doŋA1,duŋA1,doŋA1,doŋA1,duŋA1,doŋA1,doŋA1,dɔŋA1
227,"grove, wood",*pa:B,pa:B1,pa:B1,pa:B1,pa:B1,,pa:B1,,pa:B1
228,"place, ground",*di:B,tʰi:B2,tiB2,ti:C2,d̤iB2,ti:B2,toyB2,tiB2,tʰi:B1
